Index,텍스트,스프라이트 번호,선택지 유무,선택지 개수,선택지 텍스트 1,선택지 텍스트 1,선택지 텍스트 3,선택지 이벤트 1,선택지 이벤트 2,선택지 이벤트 3,사운드 유무,사운드 번호,엔드 이벤트 유무,엔드 이벤트 번호,점프 번호
0,굉장하다냥!:이젠 완전히 익숙해진 것 같다냥!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,그래도 점점 실력이:느는것 같아요!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,3,-1
2,이야 멋지구만유!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,덕분에 이 곳의 탄소도:많이 줄어들었어유!,8,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,앗 솔라아니냥!,23,FALSE,0,null,null,null,-1,-1,-1,TRUE,0,FALSE,-1,-1
1,세상에 솔라님!:정말 오랜만이에요!,8,FALSE,0,null,null,null,-1,-1,-1,TRUE,0,FALSE,-1,-1
2,다들 오랜만이어유!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,이분이 저번에 토리님께서:데려오신다는 분이쥬?,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,어엇… 그게….,9,TRUE,2,맞아!,그게 바로 나야!,null,0,0,-1,FALSE,-1,FALSE,-1,-1
0,엇….,10,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,그렇다냥!:엄청 듬직하지 않냥?,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,이번 사막에서도:정말 큰 활약을:해주셨죠!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,아 잘됐다냥!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,솔라는:가정 내 탄소줄이기:달인이거든냥,4,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,솔라! 우리에게:가정 내 탄소줄이기에 대해:알려줄 수 있냥?,19,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,와 정말 좋아요!,23,TRUE,1,나도 기대 되는걸?,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
2,좋구먼유!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,우선 냉 난방 온도 조절로도 이산화탄소를 줄일 수 있어유,1,FALSE,0,null,null,null,-1,-1,-1,TRUE,1,TRUE,1001,-1
2,한 가구가 겨울과 여름의:적정온도를 지킬 시,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,연간 약 300~400kg의:이산화탄소를:줄일 수 있어유!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,또 다른 간단한 방법으로는,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1000,-1
2,샤워 시간을:단 2분만 절약해도 ,1,FALSE,0,null,null,null,-1,-1,-1,TRUE,1,TRUE,1002,-1
2,연간 약 100~150kg의:이산화탄소를 줄일 수 있지유!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,이처럼 우리 가정에서의:사소한 노력으로도:지구를 지킬 수 있어유!,1,TRUE,1,진짜 유익하다!,null,null,0,-1,-1,FALSE,-1,TRUE,1000,-1
1,앗 다들 저길보세요!,5,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,3000,-1
2,이산화탄소로 인해:빙하지대의 얼음이:녹고 있구만유!!,5,FALSE,0,null,null,null,-1,-1,-1,TRUE,2,TRUE,1003,-1
0,으앗! 큰일이다냥!:서둘러야 한다냥!,5,TRUE,1,어.. 그.. 혹시 따뜻해지는게 왜 문제야?,null,null,0,-1,-1,FALSE,-1,TRUE,3001,-1
1,북극과 같은:빙하지대가 녹는 것은:단순히 추운 지역이:따뜻해진다는 뜻이:아니에요!,9,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1000,-1
1,북극의 얼음에는:태양광을 반사하는:알베도 효과가있어요!,9,FALSE,0,null,null,null,-1,-1,-1,TRUE,1,TRUE,1004,-1
1,NASA에 의하면 북극의 얼음이 녹아 알베도 효과가 약화되면,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,열을 흡수하는 어두운 바다가 드러나면 지구 온난화가 가속된다고 한다해요!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,또한IPCC에 따르면:해수면의 상승으로 인해:일부 고도가 낮은 나라는:물에 잠겨버릴 수 있어요!,5,TRUE,1,엄청 큰일이잖아!,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
2,어서 가도록 해유!,9,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,우리가 도울테니 힘내자냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,0,-1
