Index,텍스트,스프라이트 번호,선택지 유무,선택지 개수,선택지 텍스트 1,선택지 텍스트 1,선택지 텍스트 3,선택지 이벤트 1,선택지 이벤트 2,선택지 이벤트 3,사운드 유무,사운드 번호,엔드 이벤트 유무,엔드 이벤트 번호,점프 번호
0,후 정말 힘들었다 냥:안그러냥?,3,FALSE,0,null,null,null,-1,-1,-1,TRUE,0,FALSE,-1,-1
1,그래도 점점 실력이:느는것 같아요!,18,TRUE,2,두 번째라 더 쉬웠던 것 같아!,뭘 이 정도 가지고~,null,0,0,-1,TRUE,0,FALSE,-1,-1
0,자만은 금지다냥!:이번에 가는:사막은 엄청 어려울거다냥!,10,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,탄소중립이 실현되는:그 때까지:함께 노력하자냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,그 전에!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,우리가 가장 먼저:왜 숲으로 향했는 줄 아냥?,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,기계를 통해:나무를 많이:심을 수 있기:때문이죠?,7,FALSE,0,null,null,null,-1,-1,-1,TRUE,3,TRUE,1001,-1
0,맞다냥 그러면:왜 나무를 심는것이:중요할까 냥?,1,TRUE,2,그냥.. 예쁘니까?,탄소를 줄여주나?,null,0,1,-1,FALSE,-1,FALSE,-1,-1
1,나무가 많으면:예쁘긴 하지만…:아니에요!!,5,FALSE,0,null,null,null,0,1,-1,TRUE,1,TRUE,2,2
1,그거에요!!,8,FALSE,0,null,null,null,-1,-1,-1,TRUE,2,FALSE,-1,-1
1,USDA에서 내린 통계에 따르면,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,나무 한 그루는:1년에 약 10~22kg의:이산화탄소를:흡수한다고 해요!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,맞다냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,자동차 약 50~100km:주행분의 이산화탄소를:나무 한 그루가 상쇄시켜:준다는 이야기다 냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,자동차 뿐만 아니라:가정에서 사용하는 전자제품도:이산화탄소를:발생시킨다냥!,4,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1000,-1
0,가정에서 사용하는 에너지는:국가 전체 에너지의:15~ 30%에 해당하는:에너지를 사용한다냥! ,12,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,이러한 에너지는:화석연료를 태워서:생산하기 때문에:많은 이산화탄소가 발생한다냥!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,OECD에 따르면 TV나 셋톱박스등의 대기전력:절약 시,18,FALSE,0,null,null,null,-1,-1,-1,TRUE,3,TRUE,1002,-1
1,가구당 연간:100~150kg의 이산화탄소를:감축시킬 수:있다 해요!,18,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,자자 그리고… 또…,19,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1000,-1
1,자 잠깐만요 토리님!,5,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,3000,-1
1,이제 슬슬 사막으로 가야지요!,5,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,못다한 이야기는:다음에 마저 하도록 해요!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,아.. 그렇지 냥..!,9,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,미안하다냥:내가 탄소중립에 좀 진심이여서…,13,TRUE,1,괜찮아 유익했던 정보였어!,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
0,그렇게 말해줘서:고맙다냥!,8,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,3001,-1
1,이번에는 새로운 방해자가:등장할거에요!,4,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,코브라라는 놈인데:타일을 가리니깐 조심하라냥!,5,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,어서 출발하자냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,조심하세요!,15,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,0,-1
