Index,텍스트,스프라이트 번호,선택지 유무,선택지 개수,선택지 텍스트 1,선택지 텍스트 1,선택지 텍스트 3,선택지 이벤트 1,선택지 이벤트 2,선택지 이벤트 3,사운드 유무,사운드 번호,엔드 이벤트 유무,엔드 이벤트 번호,점프 번호
0,드디어:마지막 지역이다냥!,12,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,저번 지역에선:정말 대단했어요!,7,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,맞아유:정말 멋졌구만유!,8,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,덕분에 탄소중립이:거의 코앞이어유!,1,TRUE,2,하핫 내가 좀!,다 너희들 덕분이지!,null,0,0,-1,FALSE,-1,FALSE,-1,-1
0,마지막으로:전하고 싶은 말이:있다냥!,1,TRUE,1,탄소중립 얘기야?,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
0,앗… 아니다냥!,9,FALSE,0,null,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
0,지금까지:정말 고마웠다는 얘기를:하고 싶었다냥,12,FALSE,0,null,null,null,0,-1,-1,TRUE,0,FALSE,-1,-1
0,갑작스럽게:도와달라 해서:당황스러웠을텐데:너무 고마웠다냥!,11,FALSE,0,null,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
1,덕분에 저희의:꿈이 곧 코앞이에요!,19,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,저도 정말 감사합니다!,23,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,나도 감사의 인사를 해야겠구만유!,7,FALSE,1,나도 고마웠어!,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,이거 꽤나 부끄럽구만 냥~,8,TRUE,2,그럼 마지막으로,재밌는 탄소중립 이야기 하나 해줄래?,null,0,0,-1,FALSE,-1,FALSE,-1,-1
1,그거 좋네요!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,이야 센스가 있구먼유!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,좋다냥!,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,UN에 따르면:전 세계 플라스틱 생산량의:약 50%가:일회용품이라고 한다냥!,1,FALSE,0,null,null,null,-1,-1,-1,TRUE,1,TRUE,1001,-1
0,해당 일회용품의 재활용율은:전 세계 평균 9퍼센트 미만이고,1,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,소각 시:1kg당 약 2.5kg의:이산화탄소를:배출한다고 한다냥!,5,TRUE,1,텀블러나 에코백을 사용해야겠네?,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
0,바로 그거다냥!:역시 우리:탄소중립 마스코트의:조력자 답다냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,1000,-1
0,이 외에도:이산화탄소를 줄이기 위한:자잘한 정보들도 많지만:그보다 더 중요한 게 있다냥!,1,TRUE,1,그게 뭔데?,null,null,0,-1,-1,FALSE,-1,TRUE,3000,-1
0,후후 그건 바로,17,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,다 같이 함께하는:마음가짐이다냥!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,3001,-1
1,그렇죠!:우리가 혼자였다면:여기까지 오지:못했을 거에요!,20,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,이야 토리가:멋진 말을 했구만유!,22,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,맞아유:이런 든든한 조력자가:있어 주었기에:마지막 지역까지:올 수 있었던 거쥬~,22,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
0,조력자!:우리 여정이 끝나도:꼭 탄소중립을 위해:노력해 줄 수 있겠냥?,1,TRUE,1,당연하지!,null,null,0,-1,-1,FALSE,-1,FALSE,-1,-1
0,고맙다냥!:마지막까지 힘내보자냥!:마지막은 열대야이다냥!,8,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
1,파이팅!:힘내보아요!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,FALSE,-1,-1
2,마지막까지:최선을 다하자구유!,11,FALSE,0,null,null,null,-1,-1,-1,FALSE,-1,TRUE,0,-1
